dataset,case_id,fold,fault_type,root_service,candidate_count,root_rank,AC@1,AC@2,AC@3,AC@4,AC@5,Avg@5,MRR
re2tt,re2tt-35e803c63786ac4e,1,delay,ts-route-service,68,3,0.0,0.0,1.0,1.0,1.0,0.6,0.3333333333333333
re2tt,re2tt-38941ca70beb687a,0,delay,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-3bd96ed8cc02f613,1,delay,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-3e24ca7f9747c84e,2,socket,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-3fffa88dd3653f99,1,socket,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-406c40ff0016fa9c,2,mem,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-420fff915c5f5bc5,0,mem,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-426ec979883ae8dc,1,delay,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-44604ef8713a5943,2,loss,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-472c8339fd3703e9,2,cpu,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-4780a4f90c190bf4,2,disk,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-56db4956167f9980,0,cpu,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-575015aa80c376c6,1,loss,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-5a65eea398ba8435,2,delay,ts-train-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-5bb89b87741349d7,2,cpu,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-5d2e4747cab0d818,0,socket,ts-order-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-5f50dc54f6cb9fce,0,socket,ts-route-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-606ef267348d40e5,0,delay,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-653810995a9aa3db,2,mem,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-67172e499653d426,1,socket,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-6a0d1ebf31fb52a6,0,loss,ts-auth-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-714d157727edd2d0,1,cpu,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-722f5f89a57be699,0,mem,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-727331fee88d4ce7,2,loss,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-72822d018b0df53f,0,mem,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-739ad24f1e2d7c29,1,delay,ts-travel-service,68,4,0.0,0.0,0.0,1.0,1.0,0.4,0.25
re2tt,re2tt-783d045c8102f972,0,delay,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-7cff180e5ff1cc71,1,loss,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-7d3fb265c1c0f9ed,1,cpu,ts-train-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-7d84c0b80f7f0032,1,disk,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-877f6cbd0cb33e7c,0,loss,ts-train-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-93fbbdf23f58f440,0,cpu,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-94bd05feab03461e,0,loss,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
