dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2tt,re2tt-2a03e4ad1a1d6f85,cpu,ts-train-service,0,1,59,57,50,1,1,1,59,53,50,53,1,2,1,2
re2tt,re2tt-2ae0e149b3ab15f1,socket,ts-order-service,1,1,1,35,34,1,1,1,1,1,34,1,1,1,1,1
re2tt,re2tt-2ca7cff33586ca18,socket,ts-train-service,0,1,57,57,57,1,1,1,57,57,57,57,1,1,1,1
re2tt,re2tt-2defd6e102bdaf53,cpu,ts-train-service,2,1,59,57,48,1,1,1,59,49,48,49,1,1,1,1
re2tt,re2tt-2fc3d2fb9c492b7c,mem,ts-train-service,0,1,59,57,48,7,1,1,59,49,48,49,1,5,7,5
re2tt,re2tt-35e803c63786ac4e,delay,ts-route-service,1,1,2,47,43,3,1,1,2,2,43,2,1,3,3,3
re2tt,re2tt-38941ca70beb687a,delay,ts-train-service,0,1,59,57,48,1,1,1,59,49,48,49,1,1,1,1
re2tt,re2tt-3bd96ed8cc02f613,delay,ts-train-service,1,1,59,57,48,1,1,1,59,50,48,50,1,1,1,1
re2tt,re2tt-3e24ca7f9747c84e,socket,ts-travel-service,2,1,8,60,51,1,1,1,8,6,51,6,1,1,1,1
re2tt,re2tt-3fffa88dd3653f99,socket,ts-travel-service,1,7,4,60,53,1,7,8,4,5,53,5,8,1,1,1
re2tt,re2tt-406c40ff0016fa9c,mem,ts-train-service,2,1,59,57,52,1,1,1,59,54,52,54,1,1,1,1
re2tt,re2tt-420fff915c5f5bc5,mem,ts-route-service,0,1,20,47,45,1,1,1,20,19,45,19,1,1,1,1
re2tt,re2tt-426ec979883ae8dc,delay,ts-order-service,1,1,13,35,34,1,1,1,13,11,34,11,1,1,1,1
re2tt,re2tt-44604ef8713a5943,loss,ts-order-service,2,1,11,35,33,1,1,1,11,9,33,9,1,1,1,1
re2tt,re2tt-472c8339fd3703e9,cpu,ts-route-service,2,1,10,47,45,1,1,1,10,10,45,10,1,1,1,1
re2tt,re2tt-4780a4f90c190bf4,disk,ts-travel-service,2,1,4,60,55,1,1,1,4,3,55,3,1,1,1,1
re2tt,re2tt-56db4956167f9980,cpu,ts-travel-service,0,1,10,60,1,1,1,1,10,1,1,1,1,1,1,1
re2tt,re2tt-575015aa80c376c6,loss,ts-route-service,1,2,20,47,41,1,2,1,20,15,41,15,1,1,1,1
re2tt,re2tt-5a65eea398ba8435,delay,ts-train-service,2,1,59,57,48,2,1,1,59,50,48,50,1,2,2,2
re2tt,re2tt-5bb89b87741349d7,cpu,ts-order-service,2,2,6,35,31,1,2,2,6,5,31,5,2,1,1,1
re2tt,re2tt-5d2e4747cab0d818,socket,ts-order-service,0,2,7,35,31,2,2,2,7,5,31,5,2,2,2,2
re2tt,re2tt-5f50dc54f6cb9fce,socket,ts-route-service,0,2,10,47,42,2,2,1,10,9,42,9,1,2,2,2
re2tt,re2tt-606ef267348d40e5,delay,ts-route-service,0,2,9,47,41,1,2,1,9,3,41,3,1,1,1,1
re2tt,re2tt-653810995a9aa3db,mem,ts-auth-service,2,1,13,9,10,1,1,1,13,7,10,7,1,1,1,1
re2tt,re2tt-67172e499653d426,socket,ts-route-service,1,2,17,47,1,1,2,1,17,1,1,1,1,1,1,1
re2tt,re2tt-6a0d1ebf31fb52a6,loss,ts-auth-service,0,3,1,9,9,2,3,4,1,1,9,1,4,2,2,2
re2tt,re2tt-714d157727edd2d0,cpu,ts-route-service,1,1,10,47,45,1,1,1,10,7,45,7,1,1,1,1
re2tt,re2tt-722f5f89a57be699,mem,ts-travel-service,0,1,8,60,55,1,1,1,8,6,55,6,1,1,1,1
re2tt,re2tt-727331fee88d4ce7,loss,ts-route-service,2,1,13,47,41,1,1,1,13,8,41,8,1,1,1,1
re2tt,re2tt-72822d018b0df53f,mem,ts-order-service,0,1,5,35,31,1,1,1,5,2,31,2,1,1,1,1
re2tt,re2tt-739ad24f1e2d7c29,delay,ts-travel-service,1,8,13,60,50,7,8,4,13,8,50,8,4,4,7,4
